text,label
Selling my season tickets can also sell individual dm if you’re interested,spam
Selling my season tickets can also sell individual dm if you’re interested,spam
"I’m selling my students section Lsu/ga and Washington,individual full season ticket 🎟 Dm me +1 304-500-8952",spam
Hello I'm sorry for posting this but I'm trying to sell 3 Billie eilish tickets please lmk if anyone is interested 2818408863,spam
I’m selling my student section msu/lsu and Oklahoma full season ticket 🎟 Dm me private msg for proof,spam
selling my season student tickets and individual at affordable prices dm me if you’re interested,spam
Selling my South Campus parking permit….. Please text if you’re interested (404) 689-4926,spam
Anyone interested in buying my NORTH campus deck permit should text me please.,spam
Selling my south campus parking permit… Please text if you’re interested (+1 (912) 208-3349 ),spam
Anyone interested in buying my South Campus parking permit should please reach out to me on here (404) 689-4926,spam
"I’m selling my South Campus Parking Permit, Text if you’re interested please (936)323-2780",spam
"I’m selling my South Campus Parking Permit, Text if you’re interested please (936)323-2780",spam
"Hi! Everyone, I’m giving away my tickets to the Texas game. Text me +1 406-206-7541",spam
Selling my south campus parking permit … please text if you’re interested (+1 (706) 254-3980),spam
Selling my South Campus Parking Permit…. Please text if you’re interested on here (936) 323-2780,spam
I’m looking to sell my South Campus Parking Permit… please text if you’re interested (936) 323-2780,spam
"I want to give out my MacBook Air 2022 & Charger** for free, it's in perfect health and good as new, alongside a charger so it's perfect, I want to give it out because I just got a new model and I thought of giving out the old one to someone who can't afford one and is in dire need of it... Strictly First come first serve ! PM IF YOU ARE INTERESTED +1 304-774-6103 IMESSAGE : lisaphillps324@gmail.com",spam
Selling my south campus parking permit … please text if you’re interested (+1 (706) 254-3980),spam
I’m selling my south campus parking permit … please text if you’re interested (+1 (706) 254-3980),spam
Selling my South Campus Parking Permit…. Please text if you’re interested on here (936) 323-2780,spam
I’m selling my south campus parking permit! please send a message if you’re interested (+1 (706) 254-3980),spam
Selling my South Campus Parking Permit…. Please text if you’re interested on here (936) 323-2780,spam
I’m selling my Billie eilish tickets for November concert text me if you are interested +1 334-218-3580,spam
I’m selling my Billie eilish tickets for November concert text me if you are interested +1 475-239-5231,spam
"Hi everyone! I hope this message finds you well. I have a ticket for the Sarbina Carpenter event that I need to sell. Details: - Event: Sarbina Carpenter - Date: [22 October ] - Location: [ATLANTA GEORGIA] - Price: [it's negotiable] - Contact +1 650-675-1604 If you're interested or know someone who might be, please feel free to reach out to me. Thank you, and I look forward to hearing from you! Best regards, [James Laura]",spam
"Hello everyone! I've got 4 Sabrina Carpenter Tickets for Oct 22 concert at State Farm Arena - 1 State Farm Drive, Atlanta, Atlanta, Georgia, the concert tickets are certain and credible, the seats are all together in a great section, and a nice view of the stage. If you’re interested in purchasing them kindly send me a text at +1 509-236-6095",spam
"Looking to pass my 4 Sabrina Carpenter Concert Tickets as I got mixed up in my schedule 22,Oct 2024 at Atlanta State Farm Arena Georgia, USA Hmu if you’re interested +1 508-938-1750",spam
Selling my Taylor swift tickets - text me to buy 5103127088,spam
I’m selling my South Campus Parking Permit…. Please text if you’re interested ((936) 323-2780),spam
"I’m looking to sell my Parking Permit for the South Campus, Please do text me if you’re interested (678-271-6316)",spam
"I’m selling my parking pass for the summer, message me if you’re interested please 🙏",spam
I’m selling my South Campus Parking Permit…. Please text if you’re interested (936) 323-2780,spam
I’m selling my South Campus Parking Permit…. Please text if you’re interested (936) 323-2780,spam
"Giving away Megan Moroney tickets for free, lmk if anyone is interested in it.2676062610",spam
Selling my parking pass for a very unaffordable price (2 million dollars) send me a direct message,spam
Anyone willing to buy my NORTH campus deck permit for winter quarter should text me please,spam
Hey! I’m also looking for someone selling a GA tech ticket,spam
"Looking to pass my 4 Sabrina Carpenter Concert Tickets as I got mixed up in my schedule 22,Oct 2024 at Atlanta State Farm Arena Georgia, USA Hmu if you’re interested +1 508-938-1750",spam
I’m selling my South Campus Parking Permit…. Please text if you’re interested ((936) 323-2780),spam
